Rank,Release Group,Worldwide,Domestic,%,Foreign,%
554,Have It All -The Movie,"$197,142","$197,142",100%,-,-
555,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,"$195,517","$166,616",85.2%,"$28,901",14.8%
556,Claire's Camera,"$191,980","$83,418",43.5%,"$108,562",56.5%
557,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,"$191,886","$181,938",94.8%,"$9,948",5.2%
558,Harry Potter and the Goblet of Fire 2018 Re-release,"$188,716","$188,716",100%,-,-
559,The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946","$187,946",100%,-,-
560,Never-Ending Man: Hayao Miyazaki,"$187,320","$187,320",100%,-,-
561,Twiceland,"$186,078","$52,874",28.4%,"$133,204",71.6%
562,Cobra Kai Premiere Event feat. The Karate Kid,"$185,082","$185,082",100%,-,-
563,Shock and Awe,"$182,415","$77,980",42.7%,"$104,435",57.3%
564,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,"$175,922","$175,922",100%,-,-
565,Always at The Carlyle,"$174,251","$174,251",100%,-,-
566,The Bolshoi Ballet: Live From Moscow - La Sylphide,"$171,177","$171,177",100%,-,-
567,The House That Jack Built,"$170,113","$170,113",100%,-,-
568,Girls of the Sun,"$168,771","$19,712",11.7%,"$149,059",88.3%
569,The Clovehitch Killer,"$167,994","$8,208",4.9%,"$159,786",95.1%
570,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,"$167,991","$167,991",100%,-,-
571,Is Genesis History? 2018 Re-release,"$166,763","$166,763",100%,-,-
572,Far From the Tree,"$166,018","$166,018",100%,-,-
573,Lost & Found,"$164,026","$125,173",76.3%,"$38,853",23.7%
574,The Samuel Project,"$161,565","$161,565",100%,-,-
575,Lu Over the Wall,"$161,253","$109,857",68.1%,"$51,396",31.9%
576,National Theatre Live: The Curious Incident of the Dog in the Night-Time 2018 Re-release,"$160,381","$160,381",100%,-,-
577,The Last Resort,"$158,646","$158,646",100%,-,-
578,Western,"$155,215","$41,072",26.5%,"$114,143",73.5%
579,Bad Reputation,"$154,190","$148,568",96.4%,"$5,622",3.6%
