Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%
2,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%
4,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%
5,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%
6,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%
7,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%
8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%
9,Deadpool 2,"$734,546,611","$318,491,426",43.4%,"$416,055,185",56.6%
10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.4%,"$495,300,000",75.6%
11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%
12,Ready Player One,"$582,890,172","$137,690,172",23.6%,"$445,200,000",76.4%
13,Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%
14,Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%
15,The Meg,"$530,243,742","$145,443,742",27.4%,"$384,800,000",72.6%
16,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%
17,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%
18,Dr. Seuss' the Grinch,"$511,595,957","$270,620,950",52.9%,"$240,975,007",47.1%
19,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%
20,A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%
21,Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%
22,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.5%,"$274,409,771",69.5%
23,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%
24,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%
25,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%
26,The Nun,"$365,550,119","$117,450,119",32.1%,"$248,100,000",67.9%
27,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%
28,Peter Rabbit,"$351,266,433","$115,253,424",32.8%,"$236,013,009",67.2%
29,Mary Poppins Returns,"$349,537,494","$171,958,438",49.2%,"$177,579,056",50.8%
30,A Quiet Place,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%
31,Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%
32,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%
33,Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%
34,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%
35,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%
36,Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%
37,Halloween,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%
38,Crazy Rich Asians,"$238,532,921","$174,532,921",73.2%,"$64,000,000",26.8%
39,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%
40,Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%
41,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%
42,Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%
43,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%
44,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%
45,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%
46,Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%
47,The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%
48,Johnny English Strikes Again,"$158,970,776","$4,412,170",2.8%,"$154,558,606",97.2%
49,Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%
50,More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%
51,The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%
52,How Long Will I Love U,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%
53,A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%
54,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.1%,"$62,907,452",47.9%
55,Instant Family,"$120,556,201","$67,363,237",55.9%,"$53,192,964",44.1%
56,A Cool Fish,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%
57,Game Night,"$117,679,066","$69,179,066",58.8%,"$48,500,000",41.2%
58,Dragon Ball Super: Broly,"$115,560,610","$30,712,119",26.6%,"$84,848,491",73.4%
59,The Monkey King 3,"$115,084,576","$187,074",0.2%,"$114,897,502",99.8%
60,First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%
61,Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%
62,Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%
63,Alpha,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%
64,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%
65,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%
66,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%
67,Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%
68,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%
69,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%
70,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
71,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%
72,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%
73,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%
74,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%
75,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%
76,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%
77,I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%
78,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%
79,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%
80,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%
81,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%
82,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%
83,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%
84,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%
85,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
86,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%
87,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%
88,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%
89,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%
90,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%
91,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%
92,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%
93,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%
94,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%
95,Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%
96,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%
97,Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%
98,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%
99,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%
100,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%
101,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%
102,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%
103,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%
104,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%
105,Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%
106,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%
107,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%
108,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%
109,Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%
110,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
111,Tyler Perry's Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%
112,Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.8%,"$44,949,251",97.2%
113,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
114,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
115,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%
116,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%
117,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%
118,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%
119,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%
120,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%
121,Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%
122,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%
123,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%
124,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%
125,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%
126,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%
127,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%
128,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%
129,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%
130,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%
131,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%
132,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%
133,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
134,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%
135,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
136,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%
137,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%
138,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%
139,Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%
140,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%
141,Mirai,"$28,756,961","$812,794",2.8%,"$27,944,167",97.2%
142,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%
143,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%
144,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%
145,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%
146,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%
147,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%
148,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%
149,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%
150,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%
151,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%
152,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%
153,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%
154,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%
155,Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%
156,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%
157,Big Brother,"$22,029,250","$85,624",0.4%,"$21,943,626",99.6%
158,Master Z: The Ip Man Legacy,"$21,832,649","$209,454",1%,"$21,623,195",99%
159,Proud Mary,"$21,753,365","$20,877,013",96%,"$876,352",4%
160,The Prodigy,"$21,150,265","$14,856,291",70.2%,"$6,293,974",29.8%
161,Gonjiam: Haunted Asylum,"$21,041,950","$115,252",0.5%,"$20,926,698",99.5%
162,My Hero Academia: Two Heroes,"$21,022,724","$5,754,556",27.4%,"$15,268,168",72.6%
163,SuperFly,"$20,780,685","$20,545,116",98.9%,"$235,569",1.1%
164,If Beale Street Could Talk,"$20,596,567","$14,915,773",72.4%,"$5,680,794",27.6%
165,Burn the Stage: The Movie,"$20,347,513","$4,201,819",20.7%,"$16,145,694",79.3%
166,Cold War 2018 Re-release,"$20,296,042","$4,580,048",22.6%,"$15,715,994",77.4%
167,The Wife,"$19,978,189","$9,601,092",48.1%,"$10,377,097",51.9%
168,They Shall Not Grow Old,"$19,866,389","$17,956,913",90.4%,"$1,909,476",9.6%
169,Everybody Knows,"$19,176,163","$2,660,165",13.9%,"$16,515,998",86.1%
170,Oolong Courtyard: KungFu School,"$19,129,015","$37,727",0.2%,"$19,091,288",99.8%
171,Detective K: Secret of the Living Dead,"$18,603,476","$104,013",0.6%,"$18,499,463",99.4%
172,Airpocalypse,"$18,491,089","$105,678",0.6%,"$18,385,411",99.4%
173,Zero,"$18,412,196","$1,035,388",5.6%,"$17,376,808",94.4%
174,Chappaquiddick,"$18,263,470","$17,395,520",95.2%,"$867,950",4.8%
175,Sorry to Bother You,"$18,170,707","$17,493,096",96.3%,"$677,611",3.7%
176,Hell Fest,"$18,159,691","$11,107,431",61.2%,"$7,052,260",38.8%
177,The Old Man & the Gun,"$17,860,397","$11,277,120",63.1%,"$6,583,277",36.9%
178,The Children Act,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%
179,Operation Finale,"$17,612,099","$17,612,099",100%,-,-
180,Loving Pablo,"$17,535,962","$22,017",0.1%,"$17,513,945",99.9%
181,102 Not Out,"$16,758,596","$1,343,797",8%,"$15,414,799",92%
182,Beautiful Boy,"$16,636,604","$7,649,973",46%,"$8,986,631",54%
183,Upgrade,"$16,593,554","$11,977,130",72.2%,"$4,616,424",27.8%
184,Forever My Girl,"$16,376,066","$16,376,066",100%,-,-
185,Unfriended: Dark Web,"$16,024,987","$8,866,745",55.3%,"$7,158,242",44.7%
186,Finding Your Feet,"$15,775,555","$1,418,682",9%,"$14,356,873",91%
187,Feng Shui,"$15,702,302","$64,147",0.4%,"$15,638,155",99.6%
188,Tully,"$15,636,462","$9,369,755",59.9%,"$6,266,707",40.1%
189,The Negotiation,"$15,229,193","$110,986",0.7%,"$15,118,207",99.3%
190,Made in India,"$14,751,915","$790,628",5.4%,"$13,961,287",94.6%
191,RBG,"$14,441,292","$14,017,361",97.1%,"$423,931",2.9%
192,Eighth Grade,"$14,347,433","$13,539,709",94.4%,"$807,724",5.6%
193,Unsane,"$14,293,601","$7,732,899",54.1%,"$6,560,702",45.9%
194,Colette,"$14,273,033","$5,137,622",36%,"$9,135,411",64%
195,Ya veremos,"$14,134,723","$4,165,949",29.5%,"$9,968,774",70.5%
196,Kedarnath,"$13,999,297","$901,131",6.4%,"$13,098,166",93.6%
197,The Quake,"$13,837,294","$6,235",<0.1%,"$13,831,059",100%
198,Three Identical Strangers,"$13,448,497","$12,320,845",91.6%,"$1,127,652",8.4%
199,Hotel Artemis,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%
200,The Sisters Brothers,"$13,143,056","$3,143,056",23.9%,"$10,000,000",76.1%
201,Welcome to Marwen,"$13,061,491","$10,763,520",82.4%,"$2,297,971",17.6%
202,Take Point,"$12,908,032","$112,386",0.9%,"$12,795,646",99.1%
203,Luis and the Aliens,"$12,627,729","$169,710",1.3%,"$12,458,019",98.7%
204,Can You Ever Forgive Me?,"$12,442,161","$8,803,865",70.8%,"$3,638,296",29.2%
205,Rampant,"$12,359,573","$167,937",1.4%,"$12,191,636",98.6%
206,Little Women,"$12,165,890","$1,379,497",11.3%,"$10,786,393",88.7%
207,Ballon,"$11,859,396","$34,222",0.3%,"$11,825,174",99.7%
208,Boy Erased,"$11,853,081","$6,788,692",57.3%,"$5,064,389",42.7%
209,Unstoppable,"$11,845,347","$101,417",0.9%,"$11,743,930",99.1%
210,Last Letter,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%
211,Ash Is Purest White,"$11,813,509","$422,814",3.6%,"$11,390,695",96.4%
212,King of Thieves,"$11,353,515","$7,518",<0.1%,"$11,345,997",99.9%
213,At Eternity's Gate,"$11,235,662","$2,294,915",20.4%,"$8,940,747",79.6%
214,La boda de Valentina,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%
215,Gringo,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%
216,Golden Slumber,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%
217,Red Joan,"$10,647,493","$1,579,730",14.8%,"$9,067,763",85.2%
218,Every Day,"$10,421,847","$6,102,076",58.6%,"$4,319,771",41.4%
219,Swing Kids,"$10,397,408","$222,001",2.1%,"$10,175,407",97.9%
220,Lobster Cop,"$10,373,129","$85,693",0.8%,"$10,287,436",99.2%
221,Kin,"$10,313,019","$5,718,096",55.4%,"$4,594,923",44.6%
222,Girls vs Gangsters,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%
223,The Miracle Season,"$10,230,620","$10,230,620",100%,-,-
224,Ben Is Back,"$10,134,204","$3,703,184",36.5%,"$6,431,020",63.5%
225,Papillon,"$10,060,903","$2,335,896",23.2%,"$7,725,007",76.8%
226,The Princess and the Matchmaker,"$9,899,017","$78,900",0.8%,"$9,820,117",99.2%
227,Traffik,"$9,515,914","$9,186,156",96.5%,"$329,758",3.5%
228,Replicas,"$9,330,075","$4,046,429",43.4%,"$5,283,646",56.6%
229,Mid90s,"$9,303,022","$7,362,439",79.1%,"$1,940,583",20.9%
230,Champion,"$8,974,547","$97,472",1.1%,"$8,877,075",98.9%
231,7 Days in Entebbe,"$8,771,432","$3,326,885",37.9%,"$5,444,547",62.1%
232,Pope Francis: A Man of His Word,"$8,608,385","$2,008,385",23.3%,"$6,600,000",76.7%
233,A-X-L,"$8,467,697","$6,501,381",76.8%,"$1,966,316",23.2%
234,Disobedience,"$8,003,180","$3,498,782",43.7%,"$4,504,398",56.3%
235,Life Itself,"$7,997,774","$4,102,648",51.3%,"$3,895,126",48.7%
236,Suspiria,"$7,942,093","$2,483,472",31.3%,"$5,458,621",68.7%
237,Qué León,"$7,807,916","$2,607,916",33.4%,"$5,200,000",66.6%
238,Amazing Grace,"$7,796,112","$4,450,456",57.1%,"$3,345,656",42.9%
239,Leave No Trace,"$7,682,928","$6,046,104",78.7%,"$1,636,824",21.3%
240,Pandas,"$7,635,778","$7,574,012",99.2%,"$61,766",0.8%
241,Burning,"$7,576,345","$718,991",9.5%,"$6,857,354",90.5%
242,Beirut,"$7,509,436","$5,019,226",66.8%,"$2,490,210",33.2%
243,God's Not Dead: A Light in Darkness,"$7,414,178","$5,728,940",77.3%,"$1,685,238",22.7%
244,Return of the Hero,"$7,362,730","$37,108",0.5%,"$7,325,622",99.5%
245,In Safe Hands,"$7,086,596","$1,737",<0.1%,"$7,084,859",100%
246,Dog Days,"$6,842,356","$6,809,080",99.5%,"$33,276",0.5%
247,Race 3,"$6,817,391","$1,690,861",24.8%,"$5,126,530",75.2%
248,Fahrenheit 11/9,"$6,674,168","$6,352,306",95.2%,"$321,862",4.8%
249,Soorma,"$6,579,645","$390,077",5.9%,"$6,189,568",94.1%
250,Gotti,"$6,412,349","$4,343,227",67.7%,"$2,069,122",32.3%
251,Unbroken: Path to Redemption,"$6,216,897","$6,216,897",100%,-,-
252,Never Look Away,"$6,193,234","$1,304,042",21.1%,"$4,889,192",78.9%
253,Ploey,"$6,146,292","$77,815",1.3%,"$6,068,477",98.7%
254,Mobile Suit Gundam Narrative,"$6,126,259","$259,224",4.2%,"$5,867,035",95.8%
255,Death of a Nation,"$5,885,881","$5,885,881",100%,-,-
256,Incident in a Ghostland,"$5,643,957",-,-,"$5,643,957",100%
257,El Angel,"$5,604,680","$109,608",2%,"$5,495,072",98%
258,Destroyer,"$5,580,940","$1,533,324",27.5%,"$4,047,616",72.5%
259,A Wizard's Tale,"$5,487,261","$2,150",<0.1%,"$5,485,111",100%
260,Action Point,"$5,103,663","$5,059,608",99.1%,"$44,055",0.9%
261,Dogman,"$5,080,147","$148,225",2.9%,"$4,931,922",97.1%
262,Blindspotting,"$5,006,989","$4,333,394",86.5%,"$673,595",13.5%
263,Sgt. Stubby: An American Hero,"$4,932,694","$4,015,935",81.4%,"$916,759",18.6%
264,Samson,"$4,873,825","$4,719,928",96.8%,"$153,897",3.2%
265,Hamlet 2018 Re-release,"$4,630,718","$235,229",5.1%,"$4,395,489",94.9%
266,Bad Samaritan,"$4,623,836","$3,435,047",74.3%,"$1,188,789",25.7%
267,Whitney,"$4,605,123","$3,026,351",65.7%,"$1,578,772",34.3%
268,The Guilty,"$4,598,051","$207,140",4.5%,"$4,390,911",95.5%
269,"Juliet, Naked","$4,511,157","$3,444,895",76.4%,"$1,066,262",23.6%
270,Woman at War,"$4,481,653","$847,495",18.9%,"$3,634,158",81.1%
271,Storm Boy,"$4,324,268","$71,760",1.7%,"$4,252,508",98.3%
272,"Don't Worry, He Won't Get Far on Foot","$4,241,656","$1,441,705",34%,"$2,799,951",66%
273,Ghost Stories,"$4,131,358","$148,747",3.6%,"$3,982,611",96.4%
274,The Fall of the American Empire,"$4,110,928","$2,178,460",53%,"$1,932,468",47%
275,2001: A Space Odyssey 2018 Re-release,"$4,084,582","$3,236,321",79.2%,"$848,261",20.8%
276,American Animals,"$4,080,073","$2,856,954",70%,"$1,223,119",30%
277,Penguin Highway,"$4,006,647","$104,567",2.6%,"$3,902,080",97.4%
278,A Private War,"$3,915,207","$1,633,208",41.7%,"$2,281,999",58.3%
279,First Reformed,"$3,862,498","$3,448,256",89.3%,"$414,242",10.7%
280,Custody,"$3,790,303","$83,882",2.2%,"$3,706,421",97.8%
281,Night of 7 Years,"$3,716,820","$24,281",0.7%,"$3,692,539",99.3%
282,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893","$3,679,893",100%,-,-
283,Non-Fiction,"$3,649,042","$704,919",19.3%,"$2,944,123",80.7%
284,Indivisible,"$3,589,633","$3,511,417",97.8%,"$78,216",2.2%
285,The Apparition,"$3,562,793","$28,293",0.8%,"$3,534,500",99.2%
286,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123","$3,508,777",99.9%,"$2,346",<0.1%
287,Racetime,"$3,493,043","$1,875,283",53.7%,"$1,617,760",46.3%
288,Great Performances at the Met: Puccini: Tosca,"$3,473,616","$2,023,749",58.3%,"$1,449,867",41.7%
289,The Rider,"$3,434,963","$2,419,031",70.4%,"$1,015,932",29.6%
290,Patrick the Pug,"$3,369,468","$6,290",0.2%,"$3,363,178",99.8%
291,On Chesil Beach,"$3,335,913","$745,971",22.4%,"$2,589,942",77.6%
292,Breath,"$3,322,479","$37,108",1.1%,"$3,285,371",98.9%
293,Wildlife,"$3,321,367","$1,050,616",31.6%,"$2,270,751",68.4%
294,Bharath Ane Nenu,"$3,276,257","$2,663,090",81.3%,"$613,167",18.7%
295,The Front Runner,"$3,242,235","$2,000,105",61.7%,"$1,242,130",38.3%
296,Thoroughbreds,"$3,187,255","$3,072,605",96.4%,"$114,650",3.6%
297,Tea With the Dames,"$3,181,152","$889,343",28%,"$2,291,809",72%
298,Made for More,"$2,999,134","$2,999,134",100%,-,-
299,Memoir of War,"$2,980,982","$103,636",3.5%,"$2,877,346",96.5%
300,The House That Jack Built,"$2,911,800","$87,993",3%,"$2,823,807",97%
301,God Bless the Broken Road,"$2,848,233","$2,846,257",99.9%,"$1,976",<0.1%
302,A Breath Away,"$2,842,040","$77,987",2.7%,"$2,764,053",97.3%
303,McQueen,"$2,739,246","$1,257,275",45.9%,"$1,481,971",54.1%
304,Edie,"$2,731,170","$71,790",2.6%,"$2,659,380",97.4%
305,Billionaire Boys Club,"$2,713,955","$1,349",<0.1%,"$2,712,606",100%
306,The Happy Prince,"$2,621,992","$466,440",17.8%,"$2,155,552",82.2%
307,The Little Mermaid,"$2,613,377","$147,175",5.6%,"$2,466,202",94.4%
308,Leo Da Vinci: Mission Mona Lisa,"$2,588,859","$19,978",0.8%,"$2,568,881",99.2%
309,Assassination Nation,"$2,584,988","$2,005,142",77.6%,"$579,846",22.4%
310,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927","$18,539",0.7%,"$2,551,388",99.3%
311,Birds of Passage,"$2,517,405","$507,259",20.2%,"$2,010,146",79.8%
312,"One Nation, One King","$2,481,681","$6,576",0.3%,"$2,475,105",99.7%
313,Lean on Pete,"$2,443,584","$1,163,056",47.6%,"$1,280,528",52.4%
314,The Breadwinner 2018 Re-release,"$2,426,907",$834,<0.1%,"$2,426,073",100%
315,Hearts Beat Loud,"$2,417,165","$2,386,251",98.7%,"$30,914",1.3%
316,The Man Who Killed Don Quixote,"$2,390,383","$391,963",16.4%,"$1,998,420",83.6%
317,1991,"$2,342,264","$2,342,264",100%,-,-
318,Puzzle,"$2,260,946","$2,032,018",89.9%,"$228,928",10.1%
319,An Interview with God,"$2,251,795","$1,201,434",53.4%,"$1,050,361",46.6%
320,At War,"$2,235,052","$4,605",0.2%,"$2,230,447",99.8%
321,Elliot the Littlest Reindeer,"$2,195,706","$24,262",1.1%,"$2,171,444",98.9%
322,3 Faces,"$2,191,516","$72,324",3.3%,"$2,119,192",96.7%
323,Border,"$2,177,678","$771,930",35.4%,"$1,405,748",64.6%
324,Veere Di Wedding,"$2,176,099",-,-,"$2,176,099",100%
325,High Life,"$2,133,033","$1,225,852",57.5%,"$907,181",42.5%
326,Indian Horse,"$2,097,362","$2,097,362",100%,-,-
327,Mary Shelley,"$2,096,600","$108,900",5.2%,"$1,987,700",94.8%
328,Black '47,"$2,073,063","$57,520",2.8%,"$2,015,543",97.2%
329,Under the Silver Lake,"$2,053,469","$46,083",2.2%,"$2,007,386",97.8%
