Rank,Release Group,Worldwide,Domestic,Foreign,filename,Year,Domestic %,Foreign %
100,How to Train Your Dragon 2,621537519,177002924,444534595,movies-2014.csv,2014,0.2847823640393944,0.7152176359606056
101,Logan,619021436,226277068,392744368,movies-2017.csv,2017,0.36553995522701094,0.6344600447729891
102,Life of Pi,609016565,124987023,484029542,movies-2012.csv,2012,0.20522762463776334,0.7947723753622367
103,Transformers: The Last Knight,605425157,130168683,475256474,movies-2017.csv,2017,0.21500375644284633,0.7849962435571537
104,The Croods,587204668,187168425,400036243,movies-2013.csv,2013,0.3187447838885368,0.6812552161114632
105,The Hangover Part II,586764305,254464305,332300000,movies-2011.csv,2011,0.43367379854505633,0.5663262014549436
106,Ready Player One,582890172,137690172,445200000,movies-2018.csv,2018,0.23621975221774713,0.7637802477822528
107,Operation Red Sea,579330426,1543547,577786879,movies-2018.csv,2018,0.0026643637736368433,0.9973356362263631
108,Fifty Shades of Grey,569651467,166167230,403484237,movies-2015.csv,2015,0.2916998193212763,0.7083001806787237
109,Kong: Skull Island,566652812,168052812,398600000,movies-2017.csv,2017,0.29657103686975084,0.7034289631302492
110,The Smurfs,563749323,142614158,421135165,movies-2011.csv,2011,0.2529744199799243,0.7470255800200757
111,Cars 2,559852396,191452396,368400000,movies-2011.csv,2011,0.3419694143811434,0.6580305856188566
112,Puss in Boots,554987477,149260504,405726973,movies-2011.csv,2011,0.26894391348581725,0.7310560865141827
113,The Mermaid,553810228,3232685,550577543,movies-2016.csv,2016,0.005837170995693492,0.9941628290043065
114,Ted,549368315,218815487,330552828,movies-2012.csv,2012,0.398303799155217,0.6016962008447829
115,American Sniper,547426372,350126372,197300000,movies-2014.csv,2014,0.639586234621521,0.3604137653784791
116,Detective Chinatown 2,544185156,1983984,542201172,movies-2018.csv,2018,0.0036457885301083076,0.9963542114698917
117,X-Men: Apocalypse,543934105,155442489,388491616,movies-2016.csv,2016,0.285774485495812,0.7142255145041879
118,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,movies-2011.csv,2011,0.3435670893134785,0.6564329106865214
119,Cinderella,542351353,201151353,341200000,movies-2015.csv,2015,0.3708875286976559,0.6291124713023442
120,World War Z,540007876,202359711,337648165,movies-2013.csv,2013,0.37473473997997764,0.6252652600200224
121,Brave,538983207,237283207,301700000,movies-2012.csv,2012,0.4402423005360907,0.5597576994639093
122,The Revenant,532950503,183637894,349312609,movies-2015.csv,2015,0.34456838480552104,0.6554316151944789
123,The Meg,530243742,145443742,384800000,movies-2018.csv,2018,0.2742960085703378,0.7257039914296621
124,Ralph Breaks the Internet,529323962,201091711,328232251,movies-2018.csv,2018,0.3799029052835511,0.6200970947164489
125,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,movies-2018.csv,2018,0.31690343941583043,0.6830965605841696
126,The Boss Baby,527965936,175003033,352962903,movies-2017.csv,2017,0.331466522870521,0.6685334771294791
127,Dunkirk,525245546,188045546,337200000,movies-2017.csv,2017,0.3580145465907482,0.6419854534092517
128,Godzilla,524976069,200676069,324300000,movies-2014.csv,2014,0.38225755582013016,0.6177424441798699
129,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,movies-2019.csv,2019,0.3081633912243746,0.6918366087756255
130,Kung Fu Panda 3,521170825,143528619,377642206,movies-2016.csv,2016,0.2753964959569638,0.7246035040430362
131,Ant-Man,519311965,180202163,339109802,movies-2015.csv,2015,0.3470017545234106,0.6529982454765894
132,Dr. Seuss' the Grinch,511595957,270620950,240975007,movies-2018.csv,2018,0.5289739809261237,0.4710260190738763
133,Rio 2,498781117,131538435,367242682,movies-2014.csv,2014,0.2637197570572825,0.7362802429427175
134,Oz the Great and Powerful,493311825,234911825,258400000,movies-2013.csv,2013,0.47619337930932426,0.5238066206906757
135,Maleficent: Mistress of Evil,491730089,113929605,377800484,movies-2019.csv,2019,0.23169134358178353,0.7683086564182164
136,War for the Planet of the Apes,490719763,146880162,343839601,movies-2017.csv,2017,0.2993157665019495,0.7006842334980505
137,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,movies-2014.csv,2014,0.39423274189184543,0.6057672581081546
138,Rio,483866518,143619809,340246709,movies-2011.csv,2011,0.29681700150205476,0.7031829984979453
139,Rise of the Planet of the Apes,481800873,176760185,305040688,movies-2011.csv,2011,0.3668739408863628,0.6331260591136372
140,Hotel Transylvania 2,474800000,169700110,305099890,movies-2015.csv,2015,0.3574138795282224,0.6425861204717775
141,San Andreas,473990832,155190832,318800000,movies-2015.csv,2015,0.32741315131597315,0.6725868486840269
142,It Chapter Two,473093228,211593228,261500000,movies-2019.csv,2019,0.44725482310222375,0.5527451768977762
143,Wreck-It Ralph,471222889,189422889,281800000,movies-2012.csv,2012,0.40198151113156133,0.5980184888684387
144,The Lego Movie,468060692,257760692,210300000,movies-2014.csv,2014,0.5506992926464331,0.44930070735356686
145,Bumblebee,467989645,127195589,340794056,movies-2018.csv,2018,0.2717914602576303,0.7282085397423698
146,Star Trek Into Darkness,467365246,228778661,238586585,movies-2013.csv,2013,0.4895072172311246,0.5104927827688753
147,The Eight Hundred,461132912,372755,460760157,movies-2020.csv,2020,0.0008083461195239952,0.999191653880476
148,Lucy,458863600,126663600,332200000,movies-2014.csv,2014,0.27603758502526676,0.7239624149747332
149,Thor,449326618,181030624,268295994,movies-2011.csv,2011,0.40289316668081304,0.597106833319187
150,La La Land,447407695,151101803,296305892,movies-2016.csv,2016,0.3377273227274287,0.6622726772725712
151,Les Misérables,441809770,148809770,293000000,movies-2012.csv,2012,0.33681864934765926,0.6631813506523407
152,Terminator Genisys,440603537,89760956,350842581,movies-2015.csv,2015,0.20372273134974855,0.7962772686502514
153,Warcraft,439048914,47365290,391683624,movies-2016.csv,2016,0.10788157877097038,0.8921184212290296
154,A Star Is Born,436188866,215288866,220900000,movies-2018.csv,2018,0.4935679995096436,0.5064320004903564
155,The Greatest Showman,434993183,174340174,260653009,movies-2017.csv,2017,0.4007882900546513,0.5992117099453488
156,Pokémon Detective Pikachu,433005346,144105346,288900000,movies-2019.csv,2019,0.3328026947731957,0.6671973052268043
157,The Secret Life of Pets 2,430051293,158874395,271176898,movies-2019.csv,2019,0.36943126921374003,0.63056873078626
158,Rampage,428028233,101028233,327000000,movies-2018.csv,2018,0.2360317035441912,0.7639682964558088
159,The Intouchables,426588510,10198820,416389690,movies-2011.csv,2011,0.023907863810021513,0.9760921361899785
160,Bad Boys for Life,426505244,206305244,220200000,movies-2020.csv,2020,0.4837109200936343,0.5162890799063657
161,Django Unchained,425368238,162805434,262562804,movies-2012.csv,2012,0.38273998727662406,0.6172600127233759
162,The Captain,416953262,706572,416246690,movies-2019.csv,2019,0.001694607200362903,0.9983053927996371
163,Jason Bourne,415484914,162434410,253050504,movies-2016.csv,2016,0.39095140287091146,0.6090485971290885
164,The Wolverine,414828246,132556852,282271394,movies-2013.csv,2013,0.3195463502743253,0.6804536497256747
165,Kingsman: The Secret Service,414351546,128261724,286089822,movies-2015.csv,2015,0.3095480763573644,0.6904519236426355
166,Pacific Rim,411002906,101802906,309200000,movies-2013.csv,2013,0.24769388370212642,0.7523061162978736
167,Kingsman: The Golden Circle,410902662,100234838,310667824,movies-2017.csv,2017,0.24393815681826855,0.7560618431817314
168,The Mummy,409231607,80227895,329003712,movies-2017.csv,2017,0.196045206742792,0.803954793257208
169,Ice Age: Collision Course,408579038,64063008,344516030,movies-2016.csv,2016,0.15679465180981703,0.843205348190183
170,"My People, My Country",405979670,2356683,403622987,movies-2019.csv,2019,0.005804928606400414,0.9941950713935996
171,Alita: Battle Angel,404980543,85838210,319142333,movies-2019.csv,2019,0.21195638033405473,0.7880436196659453
172,Prometheus,403354469,126477084,276877385,movies-2012.csv,2012,0.3135631156227502,0.6864368843772498
173,Snow White and the Huntsman,396592829,155332381,241260448,movies-2012.csv,2012,0.39166714484391246,0.6083328551560876
174,Mamma Mia! Here We Go Again,395044706,120634935,274409771,movies-2018.csv,2018,0.3053703369967449,0.6946296630032551
175,Solo: A Star Wars Story,392924807,213767512,179157295,movies-2018.csv,2018,0.5440417815106289,0.4559582184893712
176,The Wolf of Wall Street,392000694,116900694,275100000,movies-2013.csv,2013,0.2982155281592435,0.7017844718407565
177,Independence Day: Resurgence,389681935,103144286,286537649,movies-2016.csv,2016,0.26468839516514925,0.7353116048348508
178,Monster Hunt,387053506,32766,387020740,movies-2015.csv,2015,8.465496240718718e-05,0.9999153450375928
179,Godzilla: King of the Monsters,386600138,110500138,276100000,movies-2019.csv,2019,0.2858253971963145,0.7141746028036855
180,Home,386041607,177397510,208644097,movies-2015.csv,2015,0.45952950869360565,0.5404704913063944
181,1917,384792488,159227644,225564844,movies-2019.csv,2019,0.4138013317973089,0.5861986682026911
182,Cars 3,383930656,152901115,231029541,movies-2017.csv,2017,0.3982519046356121,0.6017480953643879
183,Fifty Shades Darker,381545846,114581250,266964596,movies-2017.csv,2017,0.3003079477898444,0.6996920522101556
184,Taken 2,376141306,139854287,236287019,movies-2012.csv,2012,0.3718131584304118,0.6281868415695883
185,G.I. Joe: Retaliation,375740705,122523060,253217645,movies-2013.csv,2013,0.3260840743884802,0.6739159256115198
186,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,movies-2018.csv,2018,0.5065795628491859,0.49342043715081413
187,Mad Max: Fury Road,374736354,153636354,221100000,movies-2015.csv,2015,0.4099851865453118,0.5900148134546882
188,Once Upon a Time... In Hollywood,374343626,142502728,231840898,movies-2019.csv,2019,0.38067357930651663,0.6193264206934834
189,The Adventures of Tintin,373993951,77591831,296402120,movies-2011.csv,2011,0.20746814431766036,0.7925318556823396
190,Penguins of Madagascar,373515621,83850911,289664710,movies-2014.csv,2014,0.22449104210289508,0.775508957897105
191,Fifty Shades Freed,371985018,100407760,271577258,movies-2018.csv,2018,0.26992420431298125,0.7300757956870187
192,Captain America: The First Avenger,370569774,176654505,193915269,movies-2011.csv,2011,0.4767105074252494,0.5232894925747505
193,Edge of Tomorrow,370541256,100206256,270335000,movies-2014.csv,2014,0.2704321162013873,0.7295678837986127
194,Gone Girl,369330363,167767189,201563174,movies-2014.csv,2014,0.4542469447604014,0.5457530552395986
195,Shazam!,365971656,140371656,225600000,movies-2019.csv,2019,0.3835588185550632,0.6164411814449369
196,The Nun,365550119,117450119,248100000,movies-2018.csv,2018,0.32129689718415877,0.6787031028158412
197,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,movies-2014.csv,2014,0.313175025973994,0.6868249740260061
198,The Hangover Part III,362000072,112200072,249800000,movies-2013.csv,2013,0.3099448886297459,0.6900551113702541
